url,AC,Alignment,CHA,Challenge Rating,CON,DEX,HP,INT,Languages,Passive Perception,Roll 0,Roll 1,Saving Throws,Senses,Size,Skills,Source,Speed,STR,Type,WIS,Spell Book,Immunities,Roll 2,Roll 3,Condition Immunities,Roll 4,Resistances,Vulnerabilities,Hit Dice,Legendary Roll 0
https://roll20.net/compendium/dnd5e/Monsters:Aboleth#h-Aboleth,17 (Natural Armor),Lawful Evil,18,10,15,9,135 (18d10+36),18,"Deep Speech, Telepathy 120 Ft.",20,"Tentacle
1d20 + 9
2d6+5","Tail
1d20 + 9
3d6+5","Con +6, Int +8, Wis +6",Darkvision 120 Ft.,Large,"History +12, Perception +10",SRD 5.0,"10 ft., swim 40 ft.",21,Aberration,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://roll20.net/compendium/dnd5e/Monsters:Acolyte#h-Acolyte,10,Any Alignment,11,1/4,10,10,9 (2d8),10,Any One Language (Usually Common),12,"Club
1d20 + 2
1d4",NA,NA,NA,Medium,"Medicine +4, Religion +2",SRD 5.0,30 ft.,10,Humanoid (Any Race),14,"Light, Sacred Flame, Thaumaturgy, Bless, Cure Wounds, Sanctuary",NA,NA,NA,NA,NA,NA,NA,NA,NA
https://roll20.net/compendium/dnd5e/Monsters:Adult%20Black%20Dragon#h-Adult%20Black%20Dragon,19 (Natural Armor),Chaotic Evil,17,14,21,14,195 (17d12+85),14,"Common, Draconic",21,"Bite
1d20 + 11
2d10+6+1d8","Claw
1d20 + 11
2d6+6","Dex +7, Con +10, Wis +6, Cha +8","Blindsight 60 Ft., Darkvision 120 Ft.",Huge,"Perception +11, Stealth +7",SRD 5.0,"40 ft., fly 80 ft., swim 40 ft.",23,Dragon,13,NA,Acid,"Tail
1d20 + 11
2d8+6","Acid Breath
1d20 + 0
12d8",NA,NA,NA,NA,NA,NA
https://roll20.net/compendium/dnd5e/Monsters:Adult%20Blue%20Dragon#h-Adult%20Blue%20Dragon,19,Lawful Evil,19,16,23,10,225 (18d12+108),16,"Common, Draconic",22,"Bite
1d20 + 12
2d10+7+1d10","Claw
1d20 + 12
2d6+7","Dex +5, Con +11, Wis +7, Cha +9","Blindsight 60 Ft., Darkvision 120 Ft.",Huge,"Perception +12, Stealth +5",SRD 5.0,"40 ft., Burrow 30 ft., fly 80 ft.",25,Dragon,15,NA,Lightning,"Tail
1d20 + 12
2d8+7","Lightning Breath
1d20 + 0
12d10",NA,NA,NA,NA,NA,NA
https://roll20.net/compendium/dnd5e/Monsters:Adult%20Brass%20Dragon#h-Adult%20Brass%20Dragon,18 (Natural Armor),Chaotic Good,17,13,21,10,172 (15d12+75),14,"Common, Draconic",21,"Bite
1d20 + 11
2d10+6","Claw
1d20 + 11
2d6+6","Dex +5, Con +10, Wis +6, Cha +8","Blindsight 60 Ft., Darkvision 120 Ft.",Huge,"History +7, Perception +11, Persuasion +8, Stealth +5",SRD 5.0,"40 ft., Burrow 40 ft., fly 80 ft.",23,Dragon,13,NA,Fire,"Tail
1d20 + 11
2d8+6","Fire Breath
1d20 + 0
13d6",NA,NA,NA,NA,NA,NA
https://roll20.net/compendium/dnd5e/Monsters:Adult%20Bronze%20Dragon#h-Adult%20Bronze%20Dragon,19 (Natural Armor),Lawful Good,19,15,23,10,212 (17d12+102),16,"Common, Draconic",22,"Bite
1d20 + 12
2d10+7","Claw
1d20 + 12
2d6+7","Dex +5, Con +11, Wis +7, Cha +9","Blindsight 60 Ft., Darkvision 120 Ft.",Huge,"Insight +7, Perception +12, Stealth +5",SRD 5.0,"40 ft., fly 80 ft., swim 40 ft.",25,Dragon,15,NA,Lightning,"Tail
1d20 + 12
2d8+7","Lightning Breath
1d20 + 0
12d10",NA,NA,NA,NA,NA,NA
https://roll20.net/compendium/dnd5e/Monsters:Adult%20Copper%20Dragon#h-Adult%20Copper%20Dragon,18 (Natural Armor),Chaotic Good,17,14,21,12,184 (16d12+80),18,"Common, Draconic",22,"Bite
1d20 + 11
2d10+6","Claw
1d20 + 11
2d6+6","Dex +6, Con +10, Wis +7, Cha +8","Blindsight 60 Ft., Darkvision 120 Ft.",Huge,"Deception +8, Perception +12, Stealth +6",SRD 5.0,"40 ft., climb 40 ft., fly 80 ft.",23,Dragon,15,NA,Acid,"Tail
1d20 + 11
2d8+6","Acid Breath
1d20 + 0
12d8",NA,NA,NA,NA,NA,NA
https://roll20.net/compendium/dnd5e/Monsters:Adult%20Gold%20Dragon#h-Adult%20Gold%20Dragon,19 (Natural Armor),Lawful Good,24,17,25,14,256 (19d12+133),16,"Common, Draconic",24,"Bite
1d20 + 14
2d10+8","Claw
1d20 + 14
2d6+8","Dex +8, Con +13, Wis +8, Cha +13","Blindsight 60 Ft., Darkvision 120 Ft.",Huge,"Insight +8, Perception +14, Persuasion +13, Stealth +8",SRD 5.0,"40 ft., fly 80 ft., swim 40 ft.",27,Dragon,15,NA,Fire,"Tail
1d20 + 14
2d8+8","Fire Breath
1d20 + 0
12d10",NA,NA,NA,NA,NA,NA
https://roll20.net/compendium/dnd5e/Monsters:Adult%20Green%20Dragon#h-Adult%20Green%20Dragon,19 (Natural Armor),Lawful Evil,17,15,21,12,207 (18d12+90),18,"Common, Draconic",22,"Bite
1d20 + 11
2d10+6+2d6","Claw
1d20 + 11
2d6+6","Dex +6, Con +10, Wis +7, Cha +8","Blindsight 60 Ft., Darkvision 120 Ft.",Huge,"Deception +8, Insight +7, Perception +12, Persuasion +8, Stealth +6",SRD 5.0,"40 ft., fly 80 ft., swim 40 ft.",23,Dragon,15,NA,Poison,"Tail
1d20 + 11
2d8+6","Poison Breath
1d20 + 0
16d6",Poisoned,NA,NA,NA,NA,NA
https://roll20.net/compendium/dnd5e/Monsters:Adult%20Red%20Dragon#h-Adult%20Red%20Dragon,19 (Natural Armor),Chaotic Evil,21,17,25,10,256 (19d12+133),16,"Common, Draconic",23,"Bite
1d20 + 14
2d10+8+2d6","Claw
1d20 + 14
2d6+8","Dex +6, Con +13, Wis +7, Cha +11","Blindsight 60 Ft., Darkvision 120 Ft.",Huge,"Perception +13, Stealth +6",SRD 5.0,"40 ft., climb 40 ft., fly 80 ft.",27,Dragon,13,NA,Fire,"Tail
1d20 + 14
2d8+8","Fire Breath
1d20 + 0
18d6",NA,"Magma Eruption
1d20 + 0
6d6",NA,NA,NA,NA
